feature,klass,n,mean,std,skew,median
drz_ds_nt_per_m,defect,2160,-0.07436056,30.46933,-0.1397814,0.9383531
gx_nt_per_m,background,53811,-0.9883855,17.105522,-0.059007205,-0.83340424
gx_nt_per_m,interference,2829,-1.9008963,18.156332,0.018463636,-2.188476
gx_nt_per_m,defect,2160,-0.9651028,28.523676,-0.097332284,-1.7393174
gy_nt_per_m,background,53811,1.1092515,17.298878,0.20139764,0.61482155
gy_nt_per_m,interference,2829,0.610505,20.48277,-0.28191712,0.65301454
gy_nt_per_m,defect,2160,4.3702903,26.487867,0.21962003,2.7716725
gz_nt_per_m,background,53811,-0.27682483,15.287877,0.024493016,-0.29816243
gz_nt_per_m,interference,2829,-1.192121,20.729254,-2.1692963,-0.1884865
gz_nt_per_m,defect,2160,0.2106382,34.728687,0.19243267,-0.61031616
g_mag_nt_per_m,background,53811,26.275576,11.723249,0.67799556,24.951366
g_mag_nt_per_m,interference,2829,29.966562,16.911388,2.7888517,27.547266
g_mag_nt_per_m,defect,2160,44.52415,27.532803,1.3529598,37.731976
w2m_mean_nt,background,53811,8.017793,1.5703517,0.37965515,7.9473877
w2m_mean_nt,interference,2829,30.528997,35.135235,4.0868516,18.935017
w2m_mean_nt,defect,2160,31.129398,19.16616,1.063181,26.221231
w2m_std_nt,background,53811,3.229839,1.1963974,0.53162897,3.1279619
w2m_std_nt,interference,2829,6.932851,6.961711,4.8888297,5.2312956
w2m_std_nt,defect,2160,14.884793,8.923639,1.0575198,13.194187
w2m_max_nt,background,53811,12.237593,2.7758787,0.60007894,11.98656
w2m_max_nt,interference,2829,39.179333,41.99754,4.032513,26.11821
w2m_max_nt,defect,2160,50.35208,27.773848,0.85346895,45.856792
w2m_ptp_nt,background,53811,7.9627104,2.986829,0.54945993,7.695612
w2m_ptp_nt,interference,2829,17.107887,17.329689,4.9294925,12.74695
w2m_ptp_nt,defect,2160,36.055744,21.379026,1.0208067,31.784061
w2m_kurt,background,53811,-0.021553658,2.0249732,0.31122398,-0.17535546
w2m_kurt,interference,2829,-0.2067817,1.9030535,0.37235686,-0.39680296
w2m_kurt,defect,2160,-0.37013236,1.8589851,0.58968705,-0.64750886
w2m_zcr,background,53811,0.5024289,0.2234477,-0.0032092887,0.6
w2m_zcr,interference,2829,0.2723931,0.2653851,0.56717205,0.2
w2m_zcr,defect,2160,0.21935186,0.20682104,1.1239039,0.2
w2m_energy_nt2,background,53811,381.2076,147.29819,1.2980871,361.93704
w2m_energy_nt2,interference,2829,11216.39,41452.797,8.764185,1927.2417
w2m_energy_nt2,defect,2160,7885.661,9345.756,2.3585446,4421.1807
w5m_mean_nt,background,53811,8.104766,1.3884931,3.4717793,7.990014
w5m_mean_nt,interference,2829,30.425217,32.388107,3.610081,19.593166
w5m_mean_nt,defect,2160,29.088017,10.910713,0.69149053,27.628044
w5m_std_nt,background,53811,3.473895,1.404542,7.5349793,3.322931
w5m_std_nt,interference,2829,10.919981,13.146471,4.376937,6.9455733
w5m_std_nt,defect,2160,21.798908,9.460715,0.6989924,20.826872
w5m_max_nt,background,53811,14.366665,4.6163607,7.5359097,13.795773
w5m_max_nt,interference,2829,47.78432,49.302067,3.5899646,31.63185
w5m_max_nt,defect,2160,67.23053,26.186666,0.6766448,66.33144
w5m_ptp_nt,background,53811,11.180404,4.654862,6.9112797,10.606868
w5m_ptp_nt,interference,2829,33.129055,37.037243,4.1713295,21.673702
w5m_ptp_nt,defect,2160,61.433666,25.470404,0.70173174,59.129555
w5m_kurt,background,53811,0.03882738,1.4368178,1.7100322,-0.3249332
w5m_kurt,interference,2829,-0.31761086,1.1225234,1.5523783,-0.58614594
w5m_kurt,defect,2160,-0.5400826,1.2720032,2.1419177,-0.9702469
w5m_zcr,background,53811,0.50100607,0.15108573,-0.031034645,0.54545456
w5m_zcr,interference,2829,0.2722774,0.20831946,0.29014948,0.27272728
w5m_zcr,defect,2160,0.25387207,0.14322743,0.8701177,0.27272728
w5m_energy_nt2,background,53811,884.1727,585.69745,15.707573,821.0468
w5m_energy_nt2,interference,2829,24637.586,79538.62,7.3023353,4876.8374
w5m_energy_nt2,defect,2160,16262.674,12495.053,1.6703535,13138.798
w10m_mean_nt,background,53811,8.4289055,2.402212,5.6832438,8.022229
w10m_mean_nt,interference,2829,30.037924,26.812351,2.8692079,21.428038
w10m_mean_nt,defect,2160,21.50597,6.2541804,0.50041586,21.017979
w10m_std_nt,background,53811,4.0177774,3.3890696,6.348143,3.405872
w10m_std_nt,interference,2829,16.383448,18.926607,3.4947455,9.987148
w10m_std_nt,defect,2160,19.777462,8.342664,0.6127404,19.112497
w10m_max_nt,background,53811,17.420958,11.543685,5.914719,15.110069
w10m_max_nt,interference,2829,60.073143,57.396404,3.1453884,43.415703
w10m_max_nt,defect,2160,68.004845,26.246841,0.6748447,66.623535
w10m_ptp_nt,background,53811,14.896982,11.479887,5.864535,12.66865
w10m_ptp_nt,interference,2829,52.531456,54.11801,3.324941,35.23859
w10m_ptp_nt,defect,2160,64.69444,26.004944,0.6825138,62.405228
w10m_kurt,background,53811,0.1907167,1.4774485,2.838628,-0.20757654
w10m_kurt,interference,2829,-0.38900936,1.0365158,1.8340142,-0.64804137
w10m_kurt,defect,2160,0.69833136,0.8314798,0.92340964,0.74482346
w10m_zcr,background,53811,0.49807304,0.11218025,-0.045284547,0.47619048
w10m_zcr,interference,2829,0.2753455,0.1583145,0.08801372,0.2857143
w10m_zcr,defect,2160,0.3222443,0.1144236,0.38377672,0.33333334
w10m_energy_nt2,background,53811,2165.7185,3665.2825,9.659751,1589.7526
w10m_energy_nt2,interference,2829,46569.566,120861.41,5.5273523,12707.415
w10m_energy_nt2,defect,2160,19747.988,13704.985,1.4952193,16343.356
w25m_mean_nt,background,53811,8.972222,3.4372334,9.21472,8.080155
w25m_mean_nt,interference,2829,25.46094,14.503619,2.183374,20.628647
w25m_mean_nt,defect,2160,13.9730835,3.177363,1.2310492,13.4647045
w25m_std_nt,background,53811,5.250334,5.952693,7.280185,3.4789758
w25m_std_nt,interference,2829,20.741213,18.503702,2.8719904,13.570315
w25m_std_nt,defect,2160,14.857745,6.188597,0.6312313,14.267412
w25m_max_nt,background,53811,25.106762,24.386509,4.9579406,17.031237
w25m_max_nt,interference,2829,72.75922,58.567154,3.03431,51.487274
w25m_max_nt,defect,2160,68.849464,26.6867,0.65127754,67.161446
w25m_ptp_nt,background,53811,23.262835,24.315266,4.9526157,15.281775
w25m_ptp_nt,interference,2829,70.09945,58.27009,3.0385814,49.046654
w25m_ptp_nt,defect,2160,66.84259,26.616901,0.6560827,65.538895
w25m_kurt,background,53811,1.097262,2.8598225,2.9055858,0.027592933
w25m_kurt,interference,2829,-0.30508688,0.945989,3.5242352,-0.60229456
w25m_kurt,defect,2160,5.751595,2.0367343,-0.47791767,6.037806
w25m_zcr,background,53811,0.49274093,0.076511204,-0.09128273,0.49019608
w25m_zcr,interference,2829,0.30355772,0.08225578,0.12533347,0.29411766
w25m_zcr,defect,2160,0.41903597,0.08014721,-0.16044746,0.4117647
w25m_energy_nt2,background,53811,7858.067,29482.938,23.802517,3924.2532
w25m_energy_nt2,interference,2829,82408.74,157176.9,4.489878,30789.191
w25m_energy_nt2,defect,2160,23423.918,15578.247,1.8155575,19750.447
fwhm_m,background,4663,2.0376294,1.9388652,2.2409873,1.322768
fwhm_m,interference,2347,6.8006945,1.8394101,-1.5117854,7.144262
fwhm_m,defect,2149,2.338388,0.4163006,0.42555493,2.2526546
peak_asymmetry,background,4663,-0.010559041,0.29209343,-0.08770265,-0.0073684966
peak_asymmetry,interference,2347,-0.03277472,0.27830738,-0.45684227,-0.038929034
peak_asymmetry,defect,2149,0.014128459,0.25039306,-0.050062463,0.017084591
decay_exponent,background,4663,-0.30000177,0.53812283,-0.18402022,-0.19762811
decay_exponent,interference,2328,-0.9287028,0.44894987,0.72020817,-0.9300424
decay_exponent,defect,2149,-0.8564276,0.29286602,0.18911578,-0.85756993
peak_prominence_nt,background,4663,36.37138,38.784466,3.9898643,17.45211
peak_prominence_nt,interference,2347,75.76144,62.95586,2.7807524,50.48407
peak_prominence_nt,defect,2149,66.561806,26.48125,0.67504877,65.679726
peak_distance_m,background,4663,2.8785117,3.533544,2.1695135,1.5
peak_distance_m,interference,2347,5.0749893,3.4520402,0.44689825,4.5
peak_distance_m,defect,2149,1.502094,0.9066639,0.07770367,1.5
r_mag_norm_nt_m3,background,53811,27.021463,11.6130295,0.49879482,25.99827
r_mag_norm_nt_m3,interference,2829,103.12068,122.1975,4.1749797,64.89743
r_mag_norm_nt_m3,defect,2160,105.927284,82.595314,1.3705097,79.67491
peak_prominence_norm_nt_m3,background,4663,122.7534,130.89758,3.9898646,58.90087
peak_prominence_norm_nt_m3,interference,2347,255.69487,212.47604,2.7807524,170.38374
peak_prominence_norm_nt_m3,defect,2149,224.64609,89.374214,0.6750488,221.66907
